PC1,PC2,Cluster
-0.1959370331038264,0.5226999847124485,5
-0.3856118981813214,0.43258803706806015,7
-0.386216276732338,0.30918299180230474,4
-0.3876427709018531,0.3077840824833453,4
-0.38682763137640763,0.30858345923702607,4
-0.3730980313465771,0.44908520319185646,7
-0.42185979338796303,-0.16547693237977662,6
-0.42044027531155886,-0.041272510360338334,6
-0.4270980501294352,-0.3125866081395078,6
-0.4228325198070967,-0.06277885478169141,6
-0.4273018350107967,-0.3127864523279277,6
-0.4122832786691404,-0.19124613783007957,6
-0.4130984181945862,-0.19204551458375907,6
-0.40755415709223947,-0.2010222068879751,6
-0.3085910399242273,-0.09114152043127943,1
0.5965217028583716,-0.13052180294399862,2
-0.23566184758564704,0.3975704794891416,7
-0.3140962602138516,0.2608359347332335,7
0.9294238068918478,0.7064274385396978,2
0.534462613221738,-0.5632319800078589,2
-0.2202871323093137,0.6706431835532626,4
-0.22014396064437877,0.4396511082895654,4
-0.21605075730661555,0.43029953496754547,4
-0.2129650055198288,0.2977257607223272,4
-0.2364801122060701,0.5542610594217755,4
-0.21123536118864128,0.24676924741364498,1
-0.2297135193217911,-0.4247724936151512,3
-0.33009938794397553,0.13326416652052533,1
-0.43212673592420864,0.1107123685806418,7
0.612200773669646,-0.5329775537831192,2
-0.23916641105681946,0.45193471537929913,4
-0.3135013490474593,0.13919064299098438,4
-0.31794485506919873,0.22202727344995385,1
-0.2836126615822267,0.28889836745392616,1
-0.2889632654139936,0.2419928584310712,1
-0.31236631055377234,0.23218423879710995,1
-0.3100858460147621,0.2163096107122962,1
-0.2903686647006033,0.14689383802856246,1
-0.32571581367147806,0.23097935116895799,1
-0.32310857181134606,0.2148771473094878,1
-0.3031452491790339,0.14528995574955592,1
-0.1563501496800777,0.9095958642335518,7
-0.3483535551740105,-0.35132112831965284,6
0.6012476666619074,-0.6772615807077905,2
0.6662597622640298,-0.6672833882170988,2
-0.10105078118527071,0.5008810705691252,7
0.7849009120993949,0.5582732195560745,2
-0.45330270422212743,-0.13697536973895488,0
-0.44098195498015763,-0.2838441047155901,4
