Sex,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,age,height,weight
M,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,26.0,174.0,70.0
M,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze,26.0,175.0,78.0
M,United States,USA,1932 Summer,1932,Summer,Los Angeles,Boxing,Boxing Men's Middleweight,Gold,19.0,175.0,72.0
M,West Germany,FRG,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Half-Heavyweight,Bronze,26.0,181.0,90.0
M,Luxembourg,LUX,1952 Summer,1952,Summer,Helsinki,Athletics,"Athletics Men's 1,500 metres",Gold,25.0,173.0,68.0
M,Cuba,CUB,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Light-Flyweight,Gold,24.0,172.0,48.0
M,Germany,GER,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football,Bronze,23.0,173.0,71.0
M,Germany,GER,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold,24.0,186.0,80.0
M,Germany,GER,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,24.0,186.0,80.0
M,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Men's Curling,Silver,41.0,185.0,84.0
F,Great Britain,GBR,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Bronze,24.0,169.0,63.0
M,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Coxless Fours,Silver,28.0,178.0,72.0
M,Netherlands,NED,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxed Eights,Gold,29.0,193.0,90.0
M,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,Silver,33.0,193.0,90.0
M,Netherlands,NED,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Silver,37.0,193.0,90.0
M,Poland,POL,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Light-Heavyweight,Bronze,24.0,182.0,91.0
M,United States,USA,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze,24.0,180.0,79.0
M,United States,USA,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold,28.0,180.0,79.0
M,United States,USA,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold,28.0,180.0,79.0
M,United States,USA,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze,32.0,180.0,79.0
M,United States,USA,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Three Person Keelboat,Bronze,40.0,188.0,84.0
F,United States,USA,2004 Summer,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze,21.0,172.0,64.0
F,United States,USA,2004 Summer,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,21.0,172.0,64.0
M,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze,21.0,181.0,67.0
M,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,Silver,21.0,181.0,67.0
F,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Gold,33.0,170.0,60.0
M,United States,USA,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver,25.0,175.0,75.0
F,Sweden,SWE,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver,29.0,172.0,52.0
